,P1,0.23562407607900782,,,,P2,0.23515329886099365,,,,P3,0.23515329886099365,,,,P4,0.2352221837550784,,,,P5,0.02942357122196327,,,,P6,0.02942357122196327,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,1.0,0.12349479940106928,1.0,1.0,0.1525164782991031,1.0,0.12327776579498778,1.0,1.3333333333333333,0.1522994446930216,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.4707773749400015
deterministic_similarity: x1,1.0,0.12349479940106928,1.0,1.0,0.1525164782991031,1.0,0.12327776579498778,1.0,1.3333333333333333,0.1522994446930216,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.0,0.1439776292190919,0.0,0,0.1524468975405589,-1.0,0.12327776579498778,-1.0,4.0,-0.14383194284069156,0.0,0.02407211558790373,0.0,0,-0.01131672667653405,0.4707773749400015
deterministic_similarity: x2,1.0,0.12349479940106928,1.0,1.0,0.1525164782991031,1.0,0.12327776579498778,1.0,1.3333333333333333,0.1522994446930216,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.4707773749400015
deterministic_similarity: x3,1.0,0.12349479940106928,1.0,1.0,0.1525164782991031,0.0,0.02407211558790373,0.0,0.0,-0.022656109454971096,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.4707773749400015
norm_similarity: x0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,1.0,0.0765403081145592,1.0,4.0,0.105561987012593,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.4707773749400015
norm_similarity: x1,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.4707773749400015
norm_similarity: x2,1.0,0.018289222077641776,1.0,4.0,0.047310900975675585,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.4707773749400015
norm_similarity: x3,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0,2.7755575615628914e-17,0.4707773749400015
gaussian_similarity: x0,1.0,0.12349479940106928,1.0,1.3333333333333333,0.1525164782991031,1.0,0.06963916608363446,1.0,1.3333333333333333,0.09866084498166827,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.4707773749400015
gaussian_similarity: x1,1.0,0.12349479940106928,1.0,1.3333333333333333,0.1525164782991031,1.0,0.12327776579498778,1.0,1.3333333333333333,0.1522994446930216,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.0,0.1439776292190919,0.0,0,0.1524468975405589,-1.0,0.12327776579498778,-1.0,4.0,-0.14383194284069156,0.0,0.02407211558790373,0.0,0,-0.01131672667653405,0.4707773749400015
gaussian_similarity: x2,0.0,-0.007067033905526765,0.0,0.0,0.007483149158735047,1.0,0.12327776579498778,1.0,1.3333333333333333,0.1522994446930216,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.4707773749400015
gaussian_similarity: x3,1.0,0.12349479940106928,1.0,1.3333333333333333,0.1525164782991031,0.0,0.02407211558790373,0.0,0.0,-0.022656109454971096,0.0,0.1439776292190919,0.0,0,-0.06768642629094829,0.0,0.1439776292190919,0.0,0,0.1524468975405589,0.0,0.02407211558790373,0.0,-0.0,0.02407211558790373,0.0,-0.024052774563961765,0.0,0,-0.011316726676534106,0.4707773749400015
