,P1,0.24982815723483867,,,,P2,0.25007811034780064,,,,P3,0.43763669310865094,,,,P4,0.06245703930870971,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.14963716471834376,0.0,0,-0.13799554782047913,0.0,-0.14673633156168636,0.0,0,-0.14673633156168636,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0
deterministic_similarity: x1,0.0,-0.14963716471834376,0.0,0,-0.13799554782047913,0.0,-0.14673633156168636,0.0,0,-0.14673633156168636,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0
deterministic_similarity: x2,0.0,-0.14963716471834376,0.0,0,-0.13799554782047913,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0
deterministic_similarity: x3,0.0,-0.14963716471834376,0.0,0,-0.13799554782047913,0.0,-0.14673633156168636,0.0,0,-0.14673633156168636,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0
norm_similarity: x0,0.0,0.0,0.0,0,0.0,0.0,-0.09381352986434555,0.0,0,-0.09381352986434555,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x1,0.0,-0.1138393720898827,0.0,0,-0.10492918297248571,0.0,-0.11110209568460705,0.0,0,-0.11110209568460705,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x2,0.0,-0.07326820817839114,0.0,0,-0.0673199122858461,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x3,0.0,-0.10868003614223842,0.0,0,-0.10021588007949389,0.0,-0.11446058205028187,0.0,0,-0.11446058205028187,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
gaussian_similarity: x0,0.0,-0.14963716471834376,0.0,0,-0.13799554782047913,0.0,-0.09630172275989257,0.0,0,-0.09630172275989257,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0
gaussian_similarity: x1,0.0,-0.17467898440435276,0.0,0,-0.16108913979341527,0.0,-0.14865211681441648,0.0,0,-0.14865211681441648,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0
gaussian_similarity: x2,0.0,-0.11113756958413945,0.0,0,-0.1024911814325476,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0,-0.14963716471834376,0.0,0,-0.14963716471834376,0.0
gaussian_similarity: x3,0.0,-0.15456202424067655,0.0,0,-0.14253725835744646,0.0,-0.1574903730729419,0.0,0,-0.1574903730729419,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0,0.21108175320366795,0.0,0,0.21108175320366795,0.0
