,P1,0.24982815723483867,,,,P2,0.25007811034780064,,,,P3,0.43763669310865094,,,,P4,0.06245703930870971,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.15030559647259006,0.0,0,-0.15030559647259006,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0
deterministic_similarity: x1,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.15030559647259006,0.0,0,-0.15030559647259006,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0
deterministic_similarity: x2,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0
deterministic_similarity: x3,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.15030559647259006,0.0,0,-0.15030559647259006,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0
norm_similarity: x0,0.0,0.0,0.0,0,0.0,0.0,-0.09610214366265768,0.0,0,-0.09610214366265768,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x1,0.0,-0.11425870527908133,0.0,0,-0.11425870527908133,0.0,-0.11378359582538317,0.0,0,-0.11378359582538317,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x2,0.0,-0.07328774717252295,0.0,0,-0.07328774717252295,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
norm_similarity: x3,0.0,-0.10907522064508779,0.0,0,-0.10907522064508779,0.0,-0.1171959487142934,0.0,0,-0.1171959487142934,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
gaussian_similarity: x0,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.09864419892955173,0.0,0,-0.09864419892955173,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0
gaussian_similarity: x1,0.0,-0.17533657873280584,0.0,0,-0.17533657873280584,0.0,-0.15226798194359342,0.0,0,-0.15226798194359342,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0
gaussian_similarity: x2,0.0,-0.11155595669398982,0.0,0,-0.11155595669398982,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0,-0.1502004869243901,0.0,0,-0.1502004869243901,0.0
gaussian_similarity: x3,0.0,-0.15514388651152433,0.0,0,-0.15514388651152433,0.0,-0.16132122298197116,0.0,0,-0.16132122298197116,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0,0.21456890014772267,0.0,0,0.21456890014772267,0.0
