,P1,0.16666666666666666,,,,P2,0.16666666666666666,,,,P3,0.16666666666666666,,,,P4,0.16666666666666666,,,,P5,0.16666666666666666,,,,P6,0.16666666666666666,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
deterministic_similarity: x0,0.0,0.029683321869613644,0.0,0.014841660934806822,0.17316507895685815,0.9334,0.11852733546681782,1.0,0.08510047618022631,0.21851733546681779,0.8667,0.11852733546681782,1.0,0.08510047618022631,0.21851733546681779,0.0,0.05937258040360105,0.0,0.029686290201800525,0.05937258040360105,0.0,0.029683321869613644,0.0,0.010479366763895947,-0.0865766028140551,0.0,0.04452349863832694,0.0,0.020371333776944677,0.046998345599205904,0.30001666666666665
deterministic_similarity: x1,0.0,0.029683321869613644,0.0,0.014841660934806822,0.17316507895685815,0.6,0.0410169101263656,1.0,0.0075900508397740984,0.14100691012636557,0.0,0.0410169101263656,1.0,0.0075900508397740984,0.14100691012636557,0.0,0.05937258040360105,0.0,0.029686290201800525,0.05937258040360105,0.0,0.0410169101263656,-0.6,0.021812955020647905,0.04699834559920596,0.0,0.0410169101263656,-0.6,0.016864745264983338,0.04699834559920596,0.09999999999999999
deterministic_similarity: x2,0.0,0.029683321869613644,0.0,0.014841660934806822,0.17316507895685815,0.9334,0.0410169101263656,1.0,0.0075900508397740984,0.14100691012636557,0.8667,0.0410169101263656,1.0,0.0075900508397740984,0.14100691012636557,0.0,0.05937258040360105,0.0,0.029686290201800525,0.05937258040360105,0.0,0.04452349863832694,0.0,0.025319543532609245,0.046998345599205904,0.0,0.05937258040360105,0.0,0.03522041554221879,0.032158168830492606,0.30001666666666665
deterministic_similarity: x3,0.0,0.029683321869613644,0.0,0,0.17316507895685815,0.9334,0.11852733546681782,1.0,0,0.21851733546681779,0.8667,0.11852733546681782,1.0,0,0.21851733546681779,0.0,0.05937258040360105,0.0,0,0.05937258040360105,0.0,0.04452349863832694,0.0,0,0.046998345599205904,0.0,0.04452349863832694,0.0,0,0.046998345599205904,0.30001666666666665
norm_similarity: x0,0.0,0.04410320279473984,0.0,0.030159107310991584,0.07498859859171439,0.9334,0.059505738450916335,1.0,0.040724617767955454,0.1594957384509163,0.8667,0.059505738450916335,1.0,0.040724617767955454,0.1594957384509163,0.0,0.04999806582981403,0.0,0.025592988102800123,0.04999806582981403,0.0,0.04410320279473984,0.0,0.03127401985600788,-0.01900996715950537,0.0,0.020548693385159245,0.0,0.006067474461975992,0.02468250764132629,0.30001666666666665
norm_similarity: x1,0.0,0.015799344925397918,0.0,0.0018552494416496645,0.11313982383312773,0.6,0.011337224444450344,0.642811227769445,-0.00744389623851054,0.05846951035655196,0.0,0.011337224444450344,0.0,-0.00744389623851054,0.05846951035655196,0.0,0.041431004822779505,0.0,0.017025927095765597,0.041431004822779505,0.0,0.011337224444450344,0.0,-0.001491958494281612,0.022453891111117008,0.0,0.011337224444450344,0.0,-0.003143994478732908,0.022453891111117008,0.09999999999999999
norm_similarity: x2,0.0,0.023762025182351765,0.0,0.009817929698603511,0.1289093452923957,0.9334,0.04184376120239863,1.0,0.02306264051943775,0.1418337612023986,0.8667,0.04184376120239863,1.0,0.02306264051943775,0.1418337612023986,0.0,0.05500139570948992,0.0,0.03059631798247601,0.05500139570948992,0.0,0.02153467039320156,0.0,0.008705487454469604,0.032651337059868224,0.0,0.05500139570948992,0.0,0.040520176786306664,0.04594415534544982,0.30001666666666665
norm_similarity: x3,0.0,0.02953316861206151,0.0,0,0.1266203276891654,0.9334,0.07392004449026779,1.0,0,0.17391004449026776,0.8667,0.07392004449026779,1.0,0,0.17391004449026776,0.0,0.05283799230932745,0.0,0,0.05283799230932745,0.0,0.03588758676513848,0.0,0,0.02632534321146829,0.0,0.047503505421424785,0.0,0,0.043200424084118616,0.30001666666666665
gaussian_similarity: x0,0.0,0.04839680526960238,0.0,0.03318594502576627,0.08532225136621677,0.9334,0.06594401591257937,1.0,0.043832154071719164,0.16593401591257934,0.8667,0.06594401591257937,1.0,0.043832154071719164,0.16593401591257934,0.0,0.045502255707198735,0.0,0.01984317808384628,0.045502255707198735,0.0,0.04839680526960238,0.0,0.034832891874968144,-0.022763628956871118,0.0,0.025287776017471897,0.0,0.007867732680791967,0.02892375376242473,0.30001666666666665
gaussian_similarity: x1,0.0,0.020110088143574678,0.0,0.004899227899738567,0.1251456950845237,0.6,0.014819588472018475,0.642811227769445,-0.00729227336884173,0.06512555450997454,0.0,0.014819588472018475,0.0,-0.00729227336884173,0.06512555450997454,0.0,0.04403931450232679,0.0,0.018380236878974332,0.04403931450232679,0.0,0.014819588472018475,0.0,0.0012556750773842391,0.025936255138685138,0.0,0.014819588472018475,0.0,-0.0026004548646614556,0.025936255138685138,0.09999999999999999
gaussian_similarity: x2,0.0,0.022758268049839603,0.0,0.007547407806003492,0.13020486982714122,0.9334,0.0519075666605634,1.0,0.029795704819703193,0.15189756666056337,0.8667,0.0519075666605634,1.0,0.029795704819703193,0.15189756666056337,0.0,0.06441289553058921,0.0,0.038753817907236754,0.06441289553058921,0.0,0.018167086626184548,0.0,0.004603173231550312,0.02928375329285121,0.0,0.06441289553058921,0.0,0.04699285219390928,0.051003664120650105,0.30001666666666665
gaussian_similarity: x3,0.0,0.02519435028093464,0.0,0,0.1268769537970089,0.9334,0.07257032151431908,1.0,0,0.17256032151431905,0.8667,0.07257032151431908,1.0,0,0.17256032151431905,0.0,0.05187961046022077,0.0,0,0.05187961046022077,0.0,0.0354287207137145,0.0,0,0.029838992453446234,0.0,0.04360337242427781,0.0,0,0.04032066811723428,0.30001666666666665
