,P1,0.166666666666667,,,,P2,0.166666666666667,,,,P3,0.166666666666667,,,,P4,0.166666666666667,,,,P5,0.166666666666667,,,,P6,0.166666666666667,,,,VOA,
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,,
deterministic_similarity: x0,0.66667,-0.073885964706639,1,-0.03694298235332,0.103892368626694,0,-0.024735483155472,0,-0.012367741577736,-0.024735483155472,0,0.049472079435515,0,0.024736039717757,0.133574948413261,0.8,-0.036903361992633,1,-0.018451680996316,0.074208304674034,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0.244445,0.00849511617172
deterministic_similarity: x1,0.66667,-0.073885964706639,1,-0.03694298235332,0.103892368626694,0,-0.024735483155472,0,-0.012367741577736,-0.024735483155472,0,0.049472079435515,0,0.024736039717757,0.133574948413261,0.8,-0.036903361992633,1,-0.018451680996316,0.074208304674034,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0.244445,0.00849511617172
deterministic_similarity: x2,0.66667,-0.073885964706639,1,-0.03694298235332,0.103892368626694,0,-0.024735483155472,0,-0.012367741577736,-0.024735483155472,0,0.049472079435515,0,0.024736039717757,0.133574948413261,0.8,-0.036903361992633,1,-0.018451680996316,0.074208304674034,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0,0.093997062239935,0,0.046998531119968,0.093997062239935,0.244445,0.00849511617172
deterministic_similarity: x3,0.66667,-0.073885964706639,1,0,0.103892368626694,0,-0.024735483155472,0,0,-0.024735483155472,0,0.049472079435515,0,0,0.133574948413261,0.8,-0.036903361992633,1,0,0.074208304674034,0,0.093997062239935,0,0,0.093997062239935,0,0.093997062239935,0,0,0.093997062239935,0.244445,0
norm_similarity: x0,0.66667,-0.073053176477067,1,-0.035909221051556,0.104725156856266,0,-0.024575819661202,0,-0.011335912846168,-0.024575819661202,0,0.031911824712011,0,0.016090848490981,0.124400896000817,0.8,-0.0538157860344,1,-0.02867712249391,0.057295880632266,0,0.090943473506672,0,0.042735415972751,0.090943473506672,0,0.091055761026258,0,0.042958240706692,0.091055761026258,0.244445,0.004310374796465
norm_similarity: x1,0,-0.075562647317498,0,-0.038418691891987,0.094927869804193,0,-0.019185222251743,0,-0.005945315436709,-0.019185222251743,0,0.033642992880342,0,0.017822016659312,0.109834955859318,0.8,-0.050026470989453,1,-0.024887807448963,0.061085195677214,0,0.107512226950977,0,0.059304169417055,0.107512226950977,0,0.105268134426297,0,0.057170614106732,0.105268134426297,0.133333333333333,0.010840830900907
norm_similarity: x2,0,-0.074247908758502,0,-0.037103953332991,0.087089301818997,0,-0.035678398977259,0,-0.022438492162225,-0.035678398977259,0,0.029371039733831,0,0.0135500635128,0.122046211552814,0.8,-0.046989724219088,1,-0.021851060678598,0.064121942447579,0,0.090792644745881,0,0.042584587211959,0.090792644745881,0,0.092261226464838,0,0.044163706145273,0.092261226464838,0.133333333333333,0.00315080844937
norm_similarity: x3,0.66667,-0.073641863679639,0,0,0.094455562738479,0,-0.017465943507967,0,0,-0.017465943507967,0,0.037113945027098,0,0,0.104738895818462,0.8,-0.045722134001374,1,0,0.065389532665293,0,0.098725668028225,0,0,0.098725668028225,0,0.100487395096626,0,0,0.100487395096626,0.244445,0
gaussian_similarity: x0,0,-0.063758531486612,0,-0.031863794233478,0.078776512748395,0,-0.01875463938234,0,-0.009002523650253,-0.01875463938234,0,0.037137565826682,0,0.018588900882921,0.100303863813437,0.8,-0.055427360880288,1,-0.027819158683787,0.055684305786379,0,0.071377447147539,0,0.033937617274923,0.071377447147539,0,0.07136987228305,0,0.03412493790627,0.07136987228305,0.133333333333333,0.002994329916099
gaussian_similarity: x1,0,-0.063826026692441,0,-0.031931289439307,0.078844339292217,0,-0.018649795078056,0,-0.00889767934597,-0.018649795078056,0,0.03706584209004,0,0.018517177146278,0.100059942062463,0.8,-0.055107261150537,1,-0.027499058954037,0.05600440551613,0,0.081954668420488,0,0.044514838547872,0.081954668420488,0,0.080729627455299,0,0.043484693078518,0.080729627455299,0.133333333333333,0.006364780172226
gaussian_similarity: x2,0,-0.063783865339751,0,-0.031889128086617,0.075457924497167,0,-0.021108259932123,0,-0.011356144200036,-0.021108259932123,0,0.037088581745847,0,0.018539916802085,0.100666666861695,0.8,-0.055114591148178,1,-0.027506388951677,0.055997075518489,0,0.07130686366767,0,0.033867033795054,0.07130686366767,0,0.071370106522334,0,0.034125172145554,0.071370106522334,0.133333333333333,0.002630076917394
gaussian_similarity: x3,0,-0.063587622868806,0,0,0.078549881297252,0,-0.018674251120726,0,0,-0.018674251120726,0,0.036897805252567,0,0,0.099605470852619,0.8,-0.054821817632645,1,0,0.056289849034022,0,0.073120781312007,0,0,0.073120781312007,0,0.073499728325226,0,0,0.073499728325226,0.133333333333333,0
