,P1,0.25,,,,P2,0.25,,,,P3,0.25,,,,P4,0.25,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.024039134551325003,0.0,-0.012019567275662502,0.2253668864186717,0.93,-0.0029821729143696407,1.0,-0.0014910864571848204,0.1645178270856304,0.0,0.07512229547289051,0.0,0.037561147736445255,0.07512229547289051,0.0,0.11418588911879368,0.0,0.05709294455939684,0.11418588911879368,0.2325
deterministic_similarity: x1,0.0,-0.024039134551325003,0.0,-0.012019567275662502,0.2253668864186717,0.93,-0.0029821729143696407,1.0,-0.0014910864571848204,0.1645178270856304,0.0,0.07512229547289051,0.0,0.037561147736445255,0.07512229547289051,0.0,0.11418588911879368,0.0,0.05709294455939684,0.11418588911879368,0.2325
deterministic_similarity: x2,0.0,-0.024039134551325003,0.0,-0.012019567275662502,0.2253668864186717,0.93,-0.0029821729143696407,1.0,-0.0014910864571848204,0.1645178270856304,0.0,0.07512229547289051,0.0,0.037561147736445255,0.07512229547289051,0.0,0.11418588911879368,0.0,0.05709294455939684,0.11418588911879368,0.2325
deterministic_similarity: x3,0.0,-0.024039134551325003,0.0,0,0.2253668864186717,0.93,-0.0029821729143696407,1.0,0,0.1645178270856304,0.0,0.07512229547289051,0.0,0,0.07512229547289051,0.0,0.11418588911879368,0.0,0,0.11418588911879368,0.2325
norm_similarity: x0,0.0,-0.028372472165735352,0.0,-0.016078762618150427,0.20249442717317723,0.93,-0.01586092405157502,1.0,-0.00814791765103658,0.15163907594842502,0.0,0.06771570698833962,0.0,0.023534208445319074,0.06771570698833962,0.0,0.10143550562747106,0.0,0.045691029319537724,0.10143550562747106,0.2325
norm_similarity: x1,0.0,-0.01122155531035951,0.0,0.0010721542372254152,0.1985205046544829,0.93,-0.016055973803574042,1.0,-0.008342967403035601,0.151444026196426,0.0,0.12771226775032418,0.0,0.08353076920730364,0.12771226775032418,0.0,0.1317079024270289,0.0,0.07596342611909557,0.1317079024270289,0.2325
norm_similarity: x2,0.0,-0.034168229809414696,0.0,-0.02187452026182977,0.19835565287447066,0.93,-0.014361140548081575,1.0,-0.006648134147543134,0.15313885945191846,0.0,0.06966101651945944,0.0,0.025479517976438895,0.06966101651945944,0.0,0.10132344979310004,0.0,0.04557897348516671,0.10132344979310004,0.2325
norm_similarity: x3,0.0,-0.0022840576414223657,0.0,0,0.18344842059168365,0.93,-0.013030604307183724,1.0,0,0.1544693956928163,0.0,0.07083955804181019,0.0,0,0.07083955804181019,0.0,0.10678040030367797,0.0,0,0.10678040030367797,0.2325
gaussian_similarity: x0,0.0,-0.018709797205428313,0.0,-0.00932466080854738,0.17528315577997722,0.93,-0.03947455587067639,1.0,-0.019725702975520433,0.12802544412932365,0.0,0.05843882762439967,0.0,0.019323146489096756,0.05843882762439967,0.0,0.08882705162563043,0.0,0.039461381163874695,0.08882705162563043,0.2325
gaussian_similarity: x1,0.0,-0.018680606302053926,0.0,-0.009295469905172993,0.17525147929832968,0.93,-0.03954466791419431,1.0,-0.019795815019038356,0.12795533208580573,0.0,0.11782658319171913,0.0,0.0787109020564162,0.11782658319171913,0.0,0.1185623731194354,0.0,0.06919670265767967,0.1185623731194354,0.2325
gaussian_similarity: x2,0.0,-0.01892041487380336,0.0,-0.009535278476922426,0.17515331691151398,0.93,-0.03947389358606501,1.0,-0.01972504069090906,0.12802610641393503,0.0,0.058428675995698676,0.0,0.01931299486039576,0.058428675995698676,0.0,0.08880459802546858,0.0,0.03943892756371285,0.08880459802546858,0.2325
gaussian_similarity: x3,0.0,-0.016619815592419762,0.0,0,0.17200509835428496,0.93,-0.039530739902348344,1.0,0,0.1279692600976517,0.0,0.05741738715643274,0.0,0,0.05741738715643274,0.0,0.08886101083203168,0.0,0,0.08886101083203168,0.2325
