,P1,0.25,,,,P2,0.25,,,,P3,0.25,,,,P4,0.25,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
deterministic_similarity: x0,0.0,0.09014675456746868,0.0,0.04507337728373434,0.15024459094578113,1.0,0.050244590945781153,1.0,0.025122295472890577,0.15024459094578113,0.0,0.09014675456746868,0.0,0.04507337728373434,0.09014675456746868,0.0,0.0,0.0,0.0,0.15775682049307016,0.25
deterministic_similarity: x1,0.0,0.09014675456746868,0.0,0.04507337728373434,0.15024459094578113,1.0,0.050244590945781153,1.0,0.025122295472890577,0.15024459094578113,0.0,0.09014675456746868,0.0,0.04507337728373434,0.09014675456746868,0.0,0.0,0.0,0.0,0.15775682049307016,0.25
deterministic_similarity: x2,0.0,0.09014675456746868,0.0,0.04507337728373434,0.15024459094578113,1.0,0.050244590945781153,1.0,0.025122295472890577,0.15024459094578113,0.0,0.09014675456746868,0.0,0.04507337728373434,0.09014675456746868,0.0,0.0,0.0,0.0,0.15775682049307016,0.25
deterministic_similarity: x3,0.0,0.09014675456746868,0.0,0,0.15024459094578113,1.0,0.050244590945781153,1.0,0,0.15024459094578113,0.0,0.09014675456746868,0.0,0,0.09014675456746868,0.0,0.0,0.0,0,0.15775682049307016,0.25
norm_similarity: x0,0.0,0.05964606201775979,0.0,0.024906446837793972,0.1505771125177211,1.0,0.03797933492677075,1.0,0.01994497679604257,0.13797933492677072,0.0,0.08198093334441159,0.0,0.04444108415800502,0.08198093334441159,0.0,-0.0105555382435355,0.0,-0.01127691662368572,0.13306655668002748,0.25
norm_similarity: x1,0.0,0.07223441781275841,0.0,0.03749480263279259,0.15066162579273823,1.0,0.05067301055175133,1.0,0.03263865242102315,0.1506730105517513,0.0,0.07947224046768442,0.0,0.04193239128127785,0.07947224046768442,0.0,-0.0005683974710660733,0.0,-0.001289775851216294,0.14871940376466958,0.25
norm_similarity: x2,0.0,0.07655721124927672,0.0,0.0418175960693109,0.10373801151505702,1.0,0.019553803305846995,1.0,0.0015194451751188165,0.11955380330584697,0.0,0.06378592130634342,0.0,0.026246072119936847,0.06378592130634342,0.0,0.015452205995502899,0.0,0.014730827615352679,0.1021714404574291,0.25
norm_similarity: x3,0.0,0.0718072467742148,0.0,0,0.15059470921201434,1.0,0.0530927472012912,1.0,0,0.15309274720129118,0.0,0.08217517149903053,0.0,0,0.08217517149903053,0.0,0.010749055737725888,0.0,0,0.1394544693675922,0.25
gaussian_similarity: x0,0.0,0.06869196712557846,0.0,0.03392216432528759,0.11774158124085088,1.0,0.017459216347316397,1.0,0.009118199316166956,0.11745921634731638,0.0,0.07007004707929165,0.0,0.03545036169667357,0.07007004707929165,0.0,-0.00026171937196461936,0.0,-0.0005016926279172718,0.12249370487225564,0.25
gaussian_similarity: x1,0.0,0.07008213284166964,0.0,0.03531233004137878,0.116945652935039,1.0,0.01693774932081904,1.0,0.008596732289669598,0.11693774932081902,0.0,0.06885298785733973,0.0,0.03423330247472165,0.06885298785733973,0.0,1.214039979657855e-11,0.0,-0.0002399732438122526,0.12271955426191505,0.25
gaussian_similarity: x2,0.0,0.06984471683449711,0.0,0.03507491403420625,0.11337908449928091,1.0,0.01564913651876121,1.0,0.007308119487611767,0.11564913651876119,0.0,0.06879507735907708,0.0,0.034175391976459,0.06879507735907708,0.0,0.001701558895540134,0.0,0.0014615856395874816,0.11448676214594766,0.25
gaussian_similarity: x3,0.0,0.07008095697513916,0.0,0,0.1169296465054801,1.0,0.016911785293361237,1.0,0,0.11691178529336121,0.0,0.06987912870710344,0.0,0,0.06987912870710344,0.0,0.00025050420966221676,0.0,0,0.12242954672415196,0.25
