,P1,0.16676151822835295,,,,P2,0.166594840063097,,,,P3,0.166594840063097,,,,P4,0.16676151822835295,,,,P5,0.1666436417085501,,,,P6,0.1666436417085501,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,-0.06680789594493358,0.0,0,-0.013735927451273805,0.0,-0.06680789594493358,0.0,0,-0.0022262740856571614,0.0,-0.11106252632145464,0.0,0,-0.0036403436939422187,0.0,-0.11106252632145464,0.0,0,-0.05340322540442799,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0
deterministic_similarity: x1,0.0,-0.06680789594493358,0.0,0,-0.013735927451273805,0.0,-0.06675598212908918,0.0,0,0.011128475285741669,0.0,-0.06898148536583104,0.0,0,-0.0022245441347094894,0.0,-0.06680789594493353,0.0,0,-0.01596316138482376,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0
deterministic_similarity: x2,0.0,-0.10924248019394106,0.0,0,-0.05158135832046046,0.0,-0.10924248019394106,0.0,0,0.007279933071139024,0.0,-0.06898148536583104,0.0,0,-0.0022245441347094894,0.0,-0.06898148536583104,0.0,0,-0.049333305584509296,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0
deterministic_similarity: x3,0.0,-0.06680789594493358,0.0,0,-0.013735927451273805,0.0,-0.06675598212908918,0.0,0,0.011128475285741669,0.0,-0.06898148536583104,0.0,0,-0.0022245441347094894,0.0,-0.06680789594493353,0.0,0,-0.01596316138482376,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0
norm_similarity: x0,0.0,-0.15284896180721635,0.0,0,-0.07287619276974486,0.0,-0.1533845268430047,0.0,0,0.002704550403125266,0.0,-0.15447117445296796,0.0,0,0.002185785349093739,0.0,-0.15448061526625512,0.0,0,-0.07386488343018738,0.0,0.18232323757556734,0.0,0,0.18232323757556734,0.0,0.18232323757556734,0.0,0,0.18232323757556734,0.0
norm_similarity: x1,0.0,-1.1102230246251565e-16,0.0,0,-2.7755575615628914e-17,0.0,-0.06185755950622629,0.0,0,0.009884859010451903,0.0,-0.06900019627997833,0.0,0,-0.0019720898424508415,0.0,-0.05882112655818722,0.0,0,-0.014017574342565592,0.0,0.1999868564933518,0.0,0,0.1999868564933518,0.0,0.1999868564933518,0.0,0,0.1999868564933518,0.0
norm_similarity: x2,0.0,-0.15495318891967602,0.0,0,-0.07361175093853875,0.0,-0.15496629295455938,0.0,0,0.0029930067993157953,0.0,-0.15359127891798702,0.0,0,0.00225291219160963,0.0,-0.1540472334526428,0.0,0,-0.07324735840479943,0.0,0.19926749728674442,0.0,0,0.19926749728674442,0.0,0.19926749728674442,0.0,0,0.19926749728674442,0.0
norm_similarity: x3,0.0,-0.05874267396371069,0.0,0,-0.013276933363245619,0.0,-0.06229745816518292,0.0,0,0.009894647080374418,0.0,-1.1102230246251565e-16,0.0,0,-1.734723475976807e-18,0.0,0.009124933950901803,0.0,0,0.016932185231221836,0.0,-1.1102230246251565e-16,0.0,0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0,-1.1102230246251565e-16,0.0
gaussian_similarity: x0,0.15,-0.1911030845895589,1.0,1.3333333333333333,-0.10281662669122466,-0.01,-0.19173393677984496,-0.2,2.0,0.0037897958200090124,0.0,-0.19183089146893728,0.0,0,0.0032423659931793396,0.13999999999999999,-0.1918604291351146,1.0,1.0,-0.10357397123678036,0.0,0.2827677222212065,0.0,0,0.2827677222212065,0.0,0.2827677222212065,0.0,0,0.2827677222212065,0.04669489188559138
gaussian_similarity: x1,0.0,-0.06680789594493358,0.0,0.0,-0.013735927451273805,0.0,-0.11816936035733516,0.0,-0.0,0.019699280339034512,0.0,-0.12200020895133909,0.0,0,-0.0039343143717004555,0.13999999999999999,-0.11653521616325696,1.0,1.0,-0.028248758264922708,0.0,0.3391620155967868,0.0,0,0.3391620155967868,0.0,0.3391620155967868,0.0,0,0.3391620155967868,0.048360840286222354
gaussian_similarity: x2,0.15,-0.19077634341250221,1.0,1.3333333333333333,-0.10248988551416796,-0.01,-0.19082324299268444,-0.2,2.0,0.004056863054954571,0.0,-0.19114603368316457,0.0,0,0.0031451570184999143,0.13999999999999999,-0.19137149705567974,1.0,1.0,-0.10308503915734547,0.0,0.327445613222176,0.0,0,0.327445613222176,0.0,0.327445613222176,0.0,0,0.327445613222176,0.04669489188559138
gaussian_similarity: x3,0.15,-0.11257557454164926,1.0,1.3333333333333333,-0.024289116643315012,0.0,-0.11815308809332997,0.0,-0.0,0.01969656769093844,0.0,-0.06898148536583104,0.0,0,-0.0022245441347094894,0.13999999999999999,-0.11617514923113459,1.0,1.0,-0.027888691332800336,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.0,0.1380217399432344,0.0,0,0.1380217399432344,0.048360840286222354
