,P1,0.16676151822835295,,,,P2,0.166594840063097,,,,P3,0.166594840063097,,,,P4,0.16676151822835295,,,,P5,0.1666436417085501,,,,P6,0.1666436417085501,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,1.0,0.07424625931513595,1.0,1.0,0.07424625931513595,1.0,0.07424625931513595,1.0,1.0,0.07424625931513595,0.0,0.12140549253928512,0.0,0,0.12140549253928512,0.0,0.12140549253928512,0.0,0,0.12140549253928512,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.33335635829144994
deterministic_similarity: x1,1.0,0.07424625931513595,1.0,1.0,0.07424625931513595,1.0,0.07418856543661023,1.0,1.0,0.07418856543661023,0.0,0.07418856543661023,0.0,0,0.07418856543661023,0.0,0.07424625931513618,0.0,0,0.07424625931513618,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.33335635829144994
deterministic_similarity: x2,1.0,0.12140549253928512,1.0,1.0,0.12140549253928512,1.0,0.12140549253928512,1.0,1.0,0.12140549253928512,0.0,0.07418856543661023,0.0,0,0.07418856543661023,0.0,0.07418856543661023,0.0,0,0.07418856543661023,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.33335635829144994
deterministic_similarity: x3,1.0,0.07424625931513595,1.0,1.0,0.07424625931513595,1.0,0.07418856543661023,1.0,1.0,0.07418856543661023,0.0,0.07418856543661023,0.0,0,0.07418856543661023,0.0,0.07424625931513618,0.0,0,0.07424625931513618,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.33335635829144994
norm_similarity: x0,1.0,-0.07478411920019368,1.0,1.3333333333333333,-0.07478411920019368,1.0,-0.08119899373739237,1.0,1.0,-0.08119899373739237,0.0,-0.07026495578650194,0.0,0,-0.07026495578650194,0.0,-0.07069569132917608,0.0,0,-0.07069569132917608,0.0,0.10051023863592401,0.0,0,0.10051023863592401,0.0,0.10051023863592401,0.0,0,0.10051023863592401,0.33335635829144994
norm_similarity: x1,0.0,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1.0,0.06750602660224037,1.0,1.0,0.06750602660224037,0.0,0.05722723475232261,0.0,0,0.05722723475232261,0.0,0.06876124693098107,0.0,0,0.06876124693098107,0.0,0.11221936739144656,0.0,0,0.11221936739144656,0.0,0.11221936739144656,0.0,0,0.11221936739144656,0.33335635829144994
norm_similarity: x2,1.0,-0.07060815185287328,1.0,1.3333333333333333,-0.07060815185287328,1.0,-0.07103894991230186,1.0,1.0,-0.07103894991230186,0.0,-0.07513463995239189,0.0,0,-0.07513463995239189,0.0,-0.0815483522148086,0.0,0,-0.0815483522148086,0.0,0.10984257139481068,0.0,0,0.10973589315470267,0.0,0.10984257139481068,0.0,0,0.10973589315470267,0.33335635829144994
norm_similarity: x3,1.0,0.06075376695705781,1.0,1.3333333333333333,0.06075376695705781,1.0,0.06729539300926046,1.0,1.0,0.06729539300926046,0.0,-1.1102230246251565e-16,0.0,0,-1.1102230246251565e-16,0.0,0.09587397049455271,0.0,0,0.09587397049455271,0.0,-1.1102230246251565e-16,0.0,0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,0,-1.1102230246251565e-16,0.33335635829144994
gaussian_similarity: x0,1.0,-0.10489128672142878,1.0,1.0,-0.10489128672142878,1.0,-0.11500542962665805,1.0,1.0,-0.11500542962665805,0.0,-0.10240201500197676,0.0,0,-0.10240201500197676,0.0,-0.10296766910217559,0.0,0,-0.10296766910217559,0.0,0.1557951028699346,0.0,0,0.1557951028699346,0.0,0.1557951028699346,0.0,0,0.1557951028699346,0.33335635829144994
gaussian_similarity: x1,1.0,0.07424625931513595,1.0,1.0,0.07424625931513595,1.0,0.13132628783020095,1.0,1.0,0.13132628783020095,0.0,0.1312094170930872,0.0,0,0.1312094170930872,0.0,0.1313877985009918,0.0,0,0.1313877985009918,0.0,0.1868663816874392,0.0,0,0.1868663816874392,0.0,0.1868663816874392,0.0,0,0.1868663816874392,0.33335635829144994
gaussian_similarity: x2,1.0,-0.10240524698962239,1.0,1.0,-0.10240524698962239,1.0,-0.10297085366289815,1.0,1.0,-0.10297085366289815,0.0,-0.10489101188695549,0.0,0,-0.10489101188695549,0.0,-0.11500425410635307,0.0,0,-0.11500425410635307,0.0,0.18041105468307206,0.0,0,0.18041105468307206,0.0,0.18041105468307206,0.0,0,0.18041105468307206,0.33335635829144994
gaussian_similarity: x3,1.0,0.13128899080401835,1.0,1.0,0.13128899080401835,1.0,0.13130820381908415,1.0,1.0,0.13130820381908415,0.0,0.07418856543661023,0.0,0,0.07418856543661023,0.0,0.1316380584514082,0.0,0,0.1316380584514082,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.0,0.0742054602682346,0.0,0,0.0742054602682346,0.33335635829144994
