,P1,0.23562407607900782,,,,P2,0.23515329886099365,,,,P3,0.23515329886099365,,,,P4,0.2352221837550784,,,,P5,0.02942357122196327,,,,P6,0.02942357122196327,,,,VOA
sensor conf.,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*,delta,confidence of g,delta*,advantage,confidence of g*
deterministic_similarity: x0,0.0,0.1274346333327312,0.0,0,0.1274346333327312,0.0,0.15315345041539452,0.0,-0.0,0.15315345041539452,0.0,-0.0008570949420316776,0.0,0.0,-0.021759711661066772,0.92,0.12900657093923784,0.92,1.0,0.1741011363311994,0.18,-0.0187561523564862,0.28125,1.3333333333333333,0.01178360801170164,-0.44,0.12900657093923784,-0.44,2.0,-0.1317757812354931,0.4521508847583993
deterministic_similarity: x1,0.0,0.1274346333327312,0.0,0,0.1274346333327312,0.0,0.15315345041539452,0.0,-0.0,0.15315345041539452,0.98,0.12900657093923784,1.0,2.0,0.13466549186199311,0.92,0.12900657093923784,0.92,1.0,0.1741011363311994,0.0,0.15315345041539452,0.0,0.0,-0.11371471870883543,-0.44,-0.0187561523564862,-0.44,2.0,-0.02203204660885233,0.4521508847583993
deterministic_similarity: x2,0.0,0.1274346333327312,0.0,0,0.1274346333327312,0.0,0.15315345041539452,0.0,-0.0,0.15315345041539452,0.0,-0.0008570949420316776,0.0,0.0,-0.021759711661066772,0.92,0.12900657093923784,0.92,1.0,0.1741011363311994,0.18,-0.0187561523564862,0.28125,1.3333333333333333,0.01178360801170164,0.0,-0.0008570949420316776,0.0,-0.0,-0.0008570949420316776,0.4521508847583993
deterministic_similarity: x3,0.0,0.1274346333327312,0.0,0,0.1274346333327312,-0.99,-0.0187561523564862,-0.99,4.0,-0.02203204660885233,0.98,0.12900657093923784,1.0,2.0,0.13466549186199311,0.92,0.12900657093923784,0.92,1.0,0.1741011363311994,0.18,-0.0187561523564862,0.28125,1.3333333333333333,0.01178360801170164,0.0,-0.0008570949420316776,0.0,-0.0,-0.0008570949420316776,0.4521508847583993
norm_similarity: x0,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,0.10543817224841612,0.0,0,0.10543817224841612,0.0,1.1102230246251565e-16,0.0,0,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.43920451342073547
norm_similarity: x1,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.4339082706007821
norm_similarity: x2,0.0,0.03759398285640436,0.0,0,0.03759398285640436,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.44685464193844593
norm_similarity: x3,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,5.551115123125783e-17,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0,1.1102230246251565e-16,0.44685464193844593
gaussian_similarity: x0,0.0,0.1274346333327312,0.0,0,0.1274346333327312,0.0,0.09921407698036877,0.0,-0.0,0.09921407698036877,0.0,-0.0008570949420316776,0.0,0.0,-0.021759711661066772,0.92,0.12900657093923784,0.92,1.0,0.1741011363311994,0.18,-0.0187561523564862,0.28125,1.3333333333333333,0.01178360801170164,-0.44,0.12900657093923784,-0.44,2.0,-0.1317757812354931,0.47096865945880556
